prompt_text,answer_text,prompt_lang,answer_lang
el corrector ortográfico,spell checker,Spanish,English
la dirección de correo electrónico,e-mail address,Spanish,English
la informática,computer science,Spanish,English
Internet,Internet,Spanish,English
el mensaje (de texto),(text) message,Spanish,English
la página web,web page,Spanish,English
el programa (de computación),software,Spanish,English
el reproductor (de CD/DVD/MP3),(CD/DVD/MP3) player,Spanish,English
el (teléfono) celular,cell phone,Spanish,English
adjuntar (un archivo),to attach (a file),Spanish,English
borrar,to erase,Spanish,English
descargar,to download,Spanish,English
*guardar,*to save,Spanish,English
navegar en la red,to surf/browse the web,Spanish,English
digital,digital,Spanish,English
en línea,online,Spanish,English
inalámbrico(a),wireless,Spanish,English
el agujero negro,black hole,Spanish,English
el cohete,rocket,Spanish,English
el cometa,comet,Spanish,English
el espacio,space,Spanish,English
la estrella (fugaz),(shooting) star,Spanish,English
el(la) extraterrestre,alien,Spanish,English
la gravedad,gravity,Spanish,English
el ovni,UFO,Spanish,English
el planeta,planet,Spanish,English
el telescopio,telescope,Spanish,English
el transbordador espacial,space shuttle,Spanish,English
el(la) astronauta,astronaut,Spanish,English
el(la) astronómo(a),astronomer,Spanish,English
el(la) biólogo(a),biologist,Spanish,English
el(la) científico(a),scientist,Spanish,English
el(la) físico(a),physicist,Spanish,English
el(la) ingeniero(a),engineer,Spanish,English
el(la) matemático(a),mathematician,Spanish,English
el(la) (bio)químico(a),(bio)chemist,Spanish,English
el ADN (ácido desoxirribonucleico),DNA,Spanish,English
el avance,advance; breakthrough,Spanish,English
la célula,cell,Spanish,English
el desafío,challenge,Spanish,English
el descubrimiento,discovery,Spanish,English
el experimento,experiment,Spanish,English
el gen,gene,Spanish,English
el invento,invention,Spanish,English
la patente,patent,Spanish,English
la teoría,theory,Spanish,English
clonar,to clone,Spanish,English
comprobar (o:ue),to prove,Spanish,English
crear,to create,Spanish,English
fabricar,to manufacture; to make,Spanish,English
formular,to formulate,Spanish,English
inventar,to invent,Spanish,English
investigar,to investigate; to research,Spanish,English
avanzado(a),advanced,Spanish,English
(bio)químico(a),(bio)chemical,Spanish,English
especializado(a),specialized,Spanish,English
ético(a),ethical,Spanish,English
innovador(a),innovative,Spanish,English
revolucionario(a),revolutionary,Spanish,English
Hoy he dicho,Today I have said,Spanish,English
Esta mañana ha dicho,This morning he/she has said,Spanish,English
Ya hemos abierto la puerta,We've already opened the door,Spanish,English
¡Mi gato ya no ha muerto!,My cat hasn't died yet!,Spanish,English
La cura ya no ha sido inventado,The cure hasn't been invented yet,Spanish,English
Recientemente han estado buscándote,Recently they have been looking for you,Spanish,English
varias veces,several times,Spanish,English
Lo han perdido varias veces,They have lost it several times,Spanish,English
A veces,sometimes,Spanish,English
A veces se me ha roto el corazón,Sometimes my heart has broken,Spanish,English
¿todavía no has puesto la mesa?,You still haven't set the table?,Spanish,English
ya,already,Spanish,English
ya había hecho,I had already done,Spanish,English
ya habíamos hecho,We had already done,Spanish,English
todavía,still,Spanish,English
todavía no habías visto,You still hadn't seen,Spanish,English
todavía había sidobajito,He had still been (ser)very short,Spanish,English
bajito,very short,Spanish,English
miguelito,Mikey,Spanish,English
el librillo,booklet,Spanish,English
la ventanilla,plane/car/bus window,Spanish,English
ahorita,right now; very soon,Spanish,English
la campanilla,hand bell,Spanish,English
el panecillo,roll (bread),Spanish,English
la florecita,little flower,Spanish,English
chiquillo,little boy; very small,Spanish,English
el pececito,fishy; little fish,Spanish,English
el amiguito,little friend,Spanish,English
la agüita,little bit of water,Spanish,English
la lucecita,little light,Spanish,English
la manzanilla,chamomile,Spanish,English
la bombilla,lightbulb,Spanish,English
el solterón,confirmed bachelor,Spanish,English
grandote,really big,Spanish,English
el perrazo,big scary dog,Spanish,English
la casona,big house; mansion,Spanish,English
la palabrota,swear word,Spanish,English
las manazas,big hands (clumsy),Spanish,English
el sillón,armchair,Spanish,English
el manchón,large stain,Spanish,English
la mujerona,big woman,Spanish,English
mimosona,very affectionate,Spanish,English
guapetona,gorgeous,Spanish,English
golpetazo,very hard blow or strike,Spanish,English
el flechazo,arrow wound,Spanish,English
el rodillazo,blow with the knee,Spanish,English
cabezón,stubborn,Spanish,English
el cajón,drawer,Spanish,English
el telón,theater curtain,Spanish,English
el balón,ball (big ball),Spanish,English
el perrito,puppy,Spanish,English
el gatito,kitten,Spanish,English
el pollito,baby chick,Spanish,English
el pajarito,birdie,Spanish,English
el cafecito,little coffee; small coffee shop,Spanish,English
papito,daddy,Spanish,English
mamita,mommy,Spanish,English
hermanito,little brother (affectionate; not necessarily younger),Spanish,English
jovencita,lovely young lady,Spanish,English
amorcito,sweetheart,Spanish,English
un momentito,just a moment,Spanish,English
un segundito,just a second,Spanish,English
un ratito,just a bit; in a jiffy,Spanish,English
gordito,chubby (affectionate),Spanish,English
pobrecito,poor baby (generally sarcastic),Spanish,English
solito,all alone,Spanish,English
verdecito,greenish,Spanish,English
poquito,little bit,Spanish,English
cerquita,quite close,Spanish,English
nuevecito,brand new,Spanish,English
el aumento de sueldo,raise in salary,Spanish,English
la compañía,company,Spanish,English
la conferencia,conference,Spanish,English
el contrato,contract,Spanish,English
el currículum (vitae),résumé,Spanish,English
el empleo,employment; job,Spanish,English
la entrevista de trabajo,job interview,Spanish,English
el puesto,position; job,Spanish,English
la reunión,meeting,Spanish,English
el sueldo mínimo,minimum wage,Spanish,English
administrar,to manage; to run (a company),Spanish,English
ascender (e:ie),to rise; to be promoted,Spanish,English
contratar,to hire,Spanish,English
despedir (e:i),to fire,Spanish,English
exigir,to demand,Spanish,English
ganar bien,to be well paid,Spanish,English
ganar mal,to be poorly paid,Spanish,English
ganarse la vida,to earn a living,Spanish,English
jubilarse,to retire,Spanish,English
renunciar,to quit,Spanish,English
solicitar,to apply for,Spanish,English
(des)empleado(a),(un)employed,Spanish,English
exitoso(a),successful,Spanish,English
(in)capaz,(in)competent; (in)capable,Spanish,English
el ahorro,savings,Spanish,English
la bancarrota,bankruptcy,Spanish,English
el cajero automático,ATM,Spanish,English
la cuenta corriente,checkings account,Spanish,English
la cuenta de ahorros,savings account,Spanish,English
la deuda,debt,Spanish,English
la hipoteca,mortgage,Spanish,English
el presupuesto,budget,Spanish,English
ahorrar,to save,Spanish,English
cobrar,to charge; to receive,Spanish,English
depositar,to deposit,Spanish,English
financiar,to finance,Spanish,English
gastar,to spend,Spanish,English
invertir (e:ie),to invest,Spanish,English
pedir (e:i) prestado(a),to borrow,Spanish,English
prestar,to lend,Spanish,English
a corto plazo,short-term,Spanish,English
a largo plazo,long-term,Spanish,English
fijo(a),permanent; fixed,Spanish,English
financiero(a),financial,Spanish,English
la bolsa (de valores),stock market,Spanish,English
el comercio,commerce; trade,Spanish,English
el desempleo,unemployment,Spanish,English
la empresa multinacional,multinational company,Spanish,English
la huelga,strike,Spanish,English
el impuesto (de ventas),(sales) tax,Spanish,English
la inversión (extranjera),(foreign) investment,Spanish,English
el mercado,market,Spanish,English
la pobreza,poverty,Spanish,English
la riqueza,wealth,Spanish,English
el sindicato,labor union,Spanish,English
importar,to import,Spanish,English
el(la) asesor(a),consultant; advisor,Spanish,English
exportar,to export,Spanish,English
el(la) dueño(a),owner,Spanish,English
el(la) contador(a),accountant,Spanish,English
el(la) ejecutivo(a),executive,Spanish,English
el(la) empleado(a),employee,Spanish,English
el(la) gerente,manager,Spanish,English
el hombre de negocios,businessman,Spanish,English
la mujer de negocios,businesswoman,Spanish,English
el(la) socio(a),partner; member (of a business),Spanish,English
el(la) vendedor(a),salesperson,Spanish,English
la banda sonora,soundtrack,Spanish,English
el canal,channel (TV),Spanish,English
el(la) corresponsal,correspondent,Spanish,English
el(la) crítico(a) de cine,film critic,Spanish,English
la cadena,network,Spanish,English
el documental,documentary,Spanish,English
los efectos especiales,special effects,Spanish,English
el episodio (final),(final) episode,Spanish,English
el(la) locutor(a) de radio,radio announcer,Spanish,English
el(la) oyente,listener,Spanish,English
la (radio)emisora,radio station,Spanish,English
el reportaje,news report,Spanish,English
el(la) reportero(a),reporter,Spanish,English
los subtítulos,subtitles,Spanish,English
la telenovela,soap opera,Spanish,English
el(la) televidente,television viewer,Spanish,English
la temporada,season (of a TV series),Spanish,English
grabar,to record,Spanish,English
el video musical,music video,Spanish,English
rodar (o:ue),to film,Spanish,English
transmitir,to broadcast,Spanish,English
en vivo,live (not directo; referring to a live broadcast),Spanish,English
en directo,live (not vivo; referring to a live broadcast),Spanish,English
doblado(a),dubbed,Spanish,English
la celebridad,celebrity,Spanish,English
el chisme,gossip,Spanish,English
la estrella (pop),(pop) star,Spanish,English
la fama,fame,Spanish,English
la moda pasajera,fad,Spanish,English
la tendencia,trend (not moda),Spanish,English
la moda,trend (not tendencia),Spanish,English
hacerse famoso(a),to become famous,Spanish,English
tener buena fama,to have a good reputation,Spanish,English
tener mala fama,to have a bad reputation,Spanish,English
actual,current,Spanish,English
de moda,popular; in fashion,Spanish,English
influyente,influential,Spanish,English
pasado(a) de moda,out-of-date; no longer popular,Spanish,English
el acontecimiento,event,Spanish,English
la actualidad,current events,Spanish,English
el anuncio,advertisement; commercial,Spanish,English
la censura,censorship,Spanish,English
la libertad de prensa,freedom of the press,Spanish,English
los medios de comunicación,media,Spanish,English
la parcialidad,bias,Spanish,English
la publicidad,advertising,Spanish,English
el público,public; audience,Spanish,English
enterrarse (de),to become informed (about),Spanish,English
estar al tanto,to be informed/up-to-date (not al día),Spanish,English
estar al día,to be informed/up-to-date (not al tanto),Spanish,English
actualizado(a),up-to-date,Spanish,English
controvertido(a),controversial,Spanish,English
de último momento,up-to-the-minute,Spanish,English
destacado(a),prominent,Spanish,English
(im)parcial,(un)biased,Spanish,English
el(la) lector(a),reader,Spanish,English
las noticias locales,local news,Spanish,English
las noticias nacionales,national news,Spanish,English
las noticias internacionales,international news,Spanish,English
el periódico,newspaper (not diario),Spanish,English
el diario,newspaper (not periódico),Spanish,English
el(la) periodista,journalist,Spanish,English
la portada,front page; cover,Spanish,English
la prensa,press,Spanish,English
la prensa sensacionalista,tabloid(s),Spanish,English
el(la) redactor(a),editor,Spanish,English
la revista (electrónica),(online) magazine,Spanish,English
la sección de sociedad,lifestyle section,Spanish,English
la sección deportiva,sports page/section,Spanish,English
la tira cómica,comic strip,Spanish,English
el titular,headline,Spanish,English
imprimir,to print,Spanish,English
publicar,to publish,Spanish,English
suscribirse (a),to subscribe (to),Spanish,English
primero,first,Spanish,English
segundo,second,Spanish,English
para empezar,to begin,Spanish,English
finalmente,finally,Spanish,English
antes de todo,above all,Spanish,English
primero que nada,before anything else,Spanish,English
por ejemplo,for example,Spanish,English
como si,as if,Spanish,English
"para ilustrar, empecemos con","to illustrate, let’s begin with",Spanish,English
para clarificar,to clarify,Spanish,English
me parece que,it seems to me that,Spanish,English
en mi opinión,in my opinion,Spanish,English
a causa de,because of (negative),Spanish,English
debido a,because of (neutral),Spanish,English
gracias a,because of (positive),Spanish,English
